Month,Revenue ($),Sales Closed,Pipeline Value ($),Website Sessions,Conversion Rate (%),Avg Deal Size ($),Sales Team HC,Marketing HC,SEO Score,Retention Rate (%),Notes
2024-01-01,70000,13,238000,12000,2.2,5385,3,1,54,81,
2024-02-01,76672,16,260684.8,12712,2.26,4792,3,1,55,81.2,
2024-03-01,83049,18,282366.6,13395,2.32,4614,3,1,56,81.5,
2024-04-01,88877,17,302181.8,14023,2.38,5228,4,1,57,81.8,New SDR joined
2024-05-01,93976,19,319518.4,14578,2.44,4946,4,1,58,82,
2024-06-01,98265,21,334101,15046,2.5,4679,4,1,59,82.2,
2024-07-01,101771,20,346021.4,15427,2.71,5089,4,1,67,82.5,SEO refresh launched
2024-08-01,104631,21,355745.4,15728,2.77,4982,4,1,68,82.8,
2024-09-01,107066,23,364024.4,15966,2.83,4655,4,1,69,83,
2024-10-01,109357,21,371813.8,16163,2.89,5207,4,1,70,83.2,Performance campaign test
2024-11-01,111802,23,380126.8,16348,2.95,4861,4,1,71,83.5,
2024-12-01,114681,24,389915.4,16549,3.01,4778,4,1,72,83.8,
2025-01-01,118214,23,401927.6,16795,3.07,5140,4,1,73,84,
2025-02-01,130531,26,443805.4,17107,3.13,5020,5,1,74,85,New sales leader
2025-03-01,135658,28,461237.2,17501,3.19,4845,5,1,75,85.3,
2025-04-01,141509,27,481130.6,17983,3.25,5241,5,1,76,85.5,
2025-05-01,153902,31,523266.8,18549,3.43,4965,5,2,77,85.8,Marketer hired
2025-06-01,160579,33,545968.6,19187,3.49,4866,5,2,78,86,
2025-07-01,167245,32,568633,19876,3.55,5226,5,2,79,86.3,
2025-08-01,173607,34,590263.7999999999,20590,3.61,5106,5,2,80,86.5,
2025-09-01,179412,37,610000.7999999999,21299,3.67,4849,5,2,81,86.8,CRM clean-up + pricing update
2025-10-01,184483,35,627242.2,21976,3.73,5271,5,2,82,87,
2025-11-01,188742,37,641722.7999999999,22594,3.79,5101,5,2,83,87.3,
2025-12-01,192223,39,653558.2,23136,3.85,4929,5,2,84,87.5,
