Week Start,Team,Survey Responses,Response Rate (%),Trust,Communication,Role Clarity,Burnout Risk,Goal Progress,Performance Index,Manager Note
2025-10-06,Commercial Team A,9,68,61,58,63,42,55,59.2,
2025-10-13,Commercial Team A,10,69.7,62.4,59.6,63.6,42.2,56.6,60.2,
2025-10-20,Commercial Team A,11,71.3,63.8,61.2,64.2,42.3,58.1,61.3,
2025-10-27,Commercial Team A,9,72.6,65.1,62.6,64.8,42,59.5,62.4,
2025-11-03,Commercial Team A,10,73.7,66.3,63.9,65.4,41.4,60.8,63.4,
2025-11-10,Commercial Team A,11,74.5,67.4,65,66,40.4,62,64.4,
2025-11-17,Commercial Team A,9,74.9,68.4,65.9,66.6,39.2,63,65.3,New line manager
2025-11-24,Commercial Team A,10,75.1,69.3,66.6,67.2,38,63.8,66.1,
2025-12-01,Commercial Team A,11,75,70,67.2,67.8,36.9,64.5,66.9,
2025-12-08,Commercial Team A,9,74.7,70.7,67.8,68.4,36,65.1,67.5,
2025-12-15,Commercial Team A,10,74.4,71.2,68.4,69,35.6,65.6,68.1,
2025-12-22,Commercial Team A,11,74.2,71.7,69,69.6,35.4,66,68.5,
2025-12-29,Commercial Team A,9,74.1,72.1,69.8,70.2,35.6,66.4,69,Conflict workshop
2026-01-05,Commercial Team A,10,74.3,72.5,70.8,70.8,35.8,66.9,69.5,
2026-01-12,Commercial Team A,11,74.8,72.9,72,71.4,36,67.5,70,
2026-01-19,Commercial Team A,9,75.6,73.4,73.3,72,35.9,68.2,70.7,
2026-01-26,Commercial Team A,10,76.8,73.9,74.8,72.6,35.5,69,71.4,
2026-02-02,Commercial Team A,11,78.2,74.5,76.4,73.2,34.7,70,72.3,Quarter-end pressure
2026-02-09,Commercial Team A,9,79.8,75.2,78,73.8,33.6,71.2,73.4,
2026-02-16,Commercial Team A,10,81.5,76.1,79.6,74.4,32.4,72.5,74.5,
2026-02-23,Commercial Team A,11,83.1,77.1,81.1,75,31.2,73.9,75.6,New process introduced
2026-03-02,Commercial Team A,9,84.7,78.2,82.5,75.6,30.2,75.4,76.7,
2026-03-09,Commercial Team A,10,86,79.4,83.7,76.2,29.5,77,77.8,
2026-03-16,Commercial Team A,11,87,80.7,84.7,76.8,29.2,78.6,78.8,
2026-03-23,Commercial Team A,9,87.8,82,85.5,77.4,29.2,80.1,79.7,
2026-03-30,Commercial Team A,10,88.2,83.4,86.2,78,29.4,81.5,80.6,
